,geneSymbol
389,ADRA2C
390,ADRB1
391,ADRB2
392,ADRB3
393,ADRBK1
394,ADRBK2
395,ADRM1
396,ADSL
397,ADSS
398,ADSSL1
399,ADTRP
400,AEBP1
401,AEBP2
402,AEN
403,AES
404,AFAP1
405,AFAP1-AS1
406,AFAP1L1
407,AFAP1L2
408,AFD1
409,AFF1
410,AFF2
411,AFF3
412,AFF4
413,AFG3L1P
414,AFG3L2
415,AFM
416,AFMID
417,AFP
418,AFTPH
419,AGA
420,AGAP1
421,AGAP11
422,AGAP2
423,AGAP3
424,AGAP4
425,AGAP5
426,AGAP6
427,AGAP7P
428,AGAP9
429,AGBL1
430,AGBL2
431,AGBL3
432,AGBL4
433,AGBL5
434,AGER
435,AGFG1
436,AGFG2
437,AGGF1
438,AGK
439,AGL
440,AGMAT
441,AGMO
442,AGO1
443,AGO2
444,AGO3
445,AGO4
446,AGPAT1
447,AGPAT2
448,AGPAT3
449,AGPAT4
450,AGPAT4-IT1
451,AGPAT5
452,AGPAT6
453,AGPAT9
454,AGPS
455,AGR2
456,AGR3
457,AGRN
458,AGRP
459,AGT
460,AGTPBP1
461,AGTR1
462,AGTR2
463,AGTRAP
464,AGXT
465,AGXT2
466,AHA1
467,AHC1
468,AHCTF1
469,AHCTF1P1
470,AHCY
471,AHCYL1
472,AHCYL2
473,AHDC1
474,AHI1
475,AHNAK
476,AHNAK2
477,AHR
478,AHRR
479,AHSA1
480,AHSA2
481,AHSG
482,AHSP
483,AICDA
484,AIDA
485,AIF1
486,AIF1L
487,AIFM1
488,AIFM2
489,AIFM3
490,AIG1
491,AIM1
492,AIM1L
493,AIM2
494,AIM46
495,AIM9
496,AIMP1
497,AIMP2
498,AIP
499,AIPL1
500,AIRE
501,AIRN
502,AJAP1
503,AJUBA
504,AK1
505,AK2
506,AK3
507,AK4
508,AK4P1
509,AK5
510,AK6
511,AK7
512,AK8
513,AK9
514,AKAP1
515,AKAP10
516,AKAP11
517,AKAP12
518,AKAP13
519,AKAP14
520,AKAP17A
521,AKAP2
522,AKAP3
523,AKAP4
524,AKAP5
525,AKAP6
526,AKAP7
527,AKAP8
528,AKAP8L
529,AKAP9
530,AKIP1
531,AKIRIN1
532,AKIRIN2
533,AKNA
534,AKNAD1
535,AKR1A1
536,AKR1B1
537,AKR1B10
538,AKR1B15
539,AKR1C1
540,AKR1C2
541,AKR1C3
542,AKR1C4
543,AKR1C8P
544,AKR1D1
545,AKR1E2
546,AKR7A2
547,AKR7A3
548,AKR7L
549,AKT1
550,AKT1S1
551,AKT2
552,AKT3
553,AKTIP
554,ALA1
555,ALAD
556,ALAS1
557,ALAS2
558,ALB
559,ALB1
560,ALCAM
561,ALD4
562,ALD6
563,ALDH16A1
564,ALDH18A1
565,ALDH1A1
566,ALDH1A2
567,ALDH1A3
568,ALDH1B1
569,ALDH1L1
570,ALDH1L2
571,ALDH2
572,ALDH2C4
573,ALDH3A1
574,ALDH3A2
575,ALDH3B1
576,ALDH3B2
577,ALDH4A1
578,ALDH5A1
579,ALDH6A1
580,ALDH7A1
581,ALDH8A1
582,ALDH9A1
583,ALDOA
584,ALDOB
585,ALDOC
586,ALG1
587,ALG10
588,ALG10B
589,ALG11
590,ALG12
591,ALG13
592,ALG14
593,ALG1L
594,ALG1L2
595,ALG2
596,ALG3
597,ALG5
598,ALG6
599,ALG8
600,ALG9
601,ALG9-IT1
602,ALK
603,ALKBH1
604,ALKBH2
605,ALKBH3
606,ALKBH4
607,ALKBH5
608,ALKBH7
609,ALKBH8
610,ALL1
611,ALLC
612,ALMS1
613,ALOX12
614,ALOX12B
615,ALOX12P2
616,ALOX15
617,ALOX15B
618,ALOX5
619,ALOX5AP
620,ALOXE3
621,ALPI
622,ALPK1
623,ALPK2
624,ALPK3
625,ALPL
626,ALPP
627,ALPPL2
628,ALR1
629,ALS2
630,ALS2CL
631,ALS2CR11
632,ALS2CR12
633,ALX1
634,ALX3
635,ALX4
636,ALY1
637,ALYREF
638,AMACR
639,AMBN
640,AMBP
641,AMBRA1
642,AMD1
643,AMDHD1
644,AMDHD2
645,AMELY
646,AMER1
647,AMER2
648,AMER3
649,AMFR
650,AMH
651,AMHR2
652,AMICA1
653,AMIGO1
654,AMIGO2
655,AMIGO3
656,AMMECR1
657,AMMECR1L
658,AMN
659,AMN1
660,AMOT
661,AMOTL1
662,AMOTL2
663,AMPD1
664,AMPD2
665,AMPD3
666,AMPH
667,AMS1
668,AMT
669,AMTN
670,AMY1A
671,AMY1B
672,AMY1C
673,AMY2A
674,AMY2B
675,AMZ1
676,AMZ2
677,AMZ2P1
678,ANAPC1
679,ANAPC10
680,ANAPC11
681,ANAPC13
682,ANAPC15
683,ANAPC16
684,ANAPC2
685,ANAPC4
686,ANAPC5
687,ANAPC7
688,ANG
689,ANGEL1
690,ANGEL2
691,ANGPT1
692,ANGPT2
693,ANGPT4
694,ANGPTL2
695,ANGPTL3
696,ANGPTL4
697,ANGPTL5
698,ANGPTL6
699,ANGPTL7
700,ANIB1
701,ANK1
702,ANK2
703,ANK3
704,ANKAR
705,ANKDD1A
706,ANKDD1B
707,ANKEF1
708,ANKFN1
709,ANKFY1
710,ANKH
711,ANKHD1
712,ANKHD1-EIF4EBP3
713,ANKIB1
714,ANKK1
715,ANKLE1
716,ANKLE2
717,ANKMY1
718,ANKMY2
719,ANKRA2
720,ANKRD1
721,ANKRD10
722,ANKRD11
723,ANKRD12
724,ANKRD13A
725,ANKRD13B
726,ANKRD13C
727,ANKRD13D
728,ANKRD16
729,ANKRD17
730,ANKRD18A
731,ANKRD18B
732,ANKRD18CP
733,ANKRD19P
734,ANKRD2
735,ANKRD20A1
736,ANKRD20A12P
737,ANKRD20A2
738,ANKRD20A3
739,ANKRD20A4
740,ANKRD20A5P
741,ANKRD22
742,ANKRD23
743,ANKRD24
744,ANKRD26
745,ANKRD26P1
746,ANKRD27
747,ANKRD28
748,ANKRD29
749,ANKRD30A
750,ANKRD30B
751,ANKRD30BL
752,ANKRD31
753,ANKRD32
754,ANKRD33
755,ANKRD33B
756,ANKRD34A
757,ANKRD34B
758,ANKRD34C
759,ANKRD35
760,ANKRD36
761,ANKRD36B
762,ANKRD36BP1
763,ANKRD36C
764,ANKRD37
765,ANKRD39
766,ANKRD40
767,ANKRD42
768,ANKRD44
769,ANKRD45
770,ANKRD46
771,ANKRD49
772,ANKRD50
773,ANKRD52
774,ANKRD53
775,ANKRD54
776,ANKRD55
777,ANKRD6
778,ANKRD60
779,ANKRD65
780,ANKRD7
781,ANKRD9
782,ANKS1A
783,ANKS1B
784,ANKS3
785,ANKS4B
786,ANKS6
787,ANKUB1
788,ANKZF1
789,ANLN
790,ANO1
791,ANO10
792,ANO2
793,ANO3
794,ANO4
795,ANO5
796,ANO6
797,ANO7
798,ANO8
799,ANO9
800,ANP32A
801,ANP32A-IT1
802,ANP32B
803,ANP32C
804,ANP32D
805,ANP32E
806,ANPEP
807,ANTXR1
808,ANTXR2
809,ANXA1
810,ANXA10
811,ANXA11
812,ANXA13
813,ANXA2
814,ANXA2P2
815,ANXA2R
816,ANXA3
817,ANXA4
818,ANXA5
819,ANXA6
820,ANXA7
821,ANXA8
822,ANXA8L1
823,ANXA9
824,AOAH
825,AOC1
826,AOC2
827,AOC3
828,AOC4P
829,AOX1
830,AP1AR
831,AP1B1
832,AP1G1
833,AP1G2
834,AP1M1
835,AP1M2
836,AP1S1
837,AP1S2
838,AP1S3
839,AP2A1
840,AP2A2
841,AP2B1
842,AP2M1
843,AP2S1
844,AP3B1
845,AP3B2
846,AP3D1
847,AP3M1
848,AP3M2
849,AP3S1
850,AP3S2
851,AP4B1
852,AP4E1
853,AP4M1
854,AP4S1
855,AP5B1
856,AP5M1
857,AP5S1
858,AP5Z1
859,APAF1
860,APBA1
861,APBA2
862,APBA3
863,APBB1
864,APBB1IP
865,APBB2
866,APBB3
867,APC
868,APC2
869,APCDD1
870,APCDD1L
871,APCS
872,APE1
873,APE2
874,APE3
875,APEH
876,APEX1
877,APEX2
878,APH1A
879,APH1B
880,API5
881,API5P1
882,APIP
883,APITD1
884,APITD1-CORT
885,APJ1
886,APL4
887,APL5
888,APLF
889,APLN
890,APLNR
891,APLP1
892,APLP2
893,APM2
894,APM4
895,APMAP
896,APOA1
897,APOA1BP
898,APOA2
899,APOA4
900,APOA5
901,APOB
902,APOBEC1
903,APOBEC2
904,APOBEC3A
905,APOBEC3B
906,APOBEC3C
907,APOBEC3D
908,APOBEC3F
909,APOBEC3G
910,APOBEC3H
911,APOBEC4
912,APOBR
913,APOC1
914,APOC2
915,APOC3
916,APOC4
917,APOD
918,APOE
919,APOF
920,APOH
921,APOL1
922,APOL2
923,APOL3
924,APOL4
925,APOL5
926,APOL6
927,APOLD1
928,APOM
929,APOO
930,APOOL
931,APOPT1
932,APP
933,APPBP2
934,APPL1
935,APPL2
936,APRT
937,APTX
938,AQN-1
939,AQP1
940,AQP10
941,AQP11
942,AQP12B
943,AQP2
944,AQP3
945,AQP4
946,AQP5
947,AQP6
948,AQP7
949,AQP7P3
950,AQP8
951,AQP9
952,AQPEP
953,AQR
954,AR
955,ARAF
956,ARAP1
957,ARAP1-AS2
958,ARAP2
959,ARAP3
960,ARC
961,ARC35
962,ARC40
963,ARCN1
964,ARD1
965,ARE2
966,AREG
967,AREL1
968,ARF1
969,ARF3
970,ARF4
971,ARF5
972,ARF6
973,ARFGAP1
974,ARFGAP2
975,ARFGAP3
976,ARFGEF1
977,ARFGEF2
978,ARFIP1
979,ARFIP2
980,ARFRP1
981,ARG1
982,ARG2
983,ARG3
984,ARG4
985,"ARG5,6"
986,ARGFX
987,ARGLU1
988,ARHGAP1
989,ARHGAP10
990,ARHGAP11A
991,ARHGAP11B
992,ARHGAP12
993,ARHGAP15
994,ARHGAP17
995,ARHGAP18
996,ARHGAP19
997,ARHGAP20
998,ARHGAP21
999,ARHGAP22
1000,ARHGAP23
1001,ARHGAP24
1002,ARHGAP25
1003,ARHGAP26
1004,ARHGAP27
1005,ARHGAP28
1006,ARHGAP29
1007,ARHGAP30
1008,ARHGAP31
1009,ARHGAP32
1010,ARHGAP33
1011,ARHGAP35
1012,ARHGAP36
1013,ARHGAP39
1014,ARHGAP4
1015,ARHGAP40
1016,ARHGAP42
1017,ARHGAP44
1018,ARHGAP5
1019,ARHGAP6
1020,ARHGAP8
1021,ARHGAP9
1022,ARHGDIA
1023,ARHGDIB
1024,ARHGDIG
1025,ARHGEF1
1026,ARHGEF10
1027,ARHGEF10L
1028,ARHGEF11
1029,ARHGEF12
1030,ARHGEF15
1031,ARHGEF16
1032,ARHGEF17
1033,ARHGEF18
1034,ARHGEF19
1035,ARHGEF2
1036,ARHGEF25
1037,ARHGEF26
1038,ARHGEF28
1039,ARHGEF3
1040,ARHGEF33
1041,ARHGEF34P
1042,ARHGEF35
1043,ARHGEF37
1044,ARHGEF38
1045,ARHGEF39
1046,ARHGEF4
1047,ARHGEF40
1048,ARHGEF5
1049,ARHGEF6
1050,ARHGEF7
1051,ARHGEF9
1052,ARID1A
1053,ARID1B
1054,ARID2
1055,ARID3A
1056,ARID3B
1057,ARID3C
1058,ARID4A
1059,ARID4B
1060,ARID5A
1061,ARID5B
1062,ARIH1
1063,ARIH2
1064,ARIH2OS
1065,ARL1
1066,ARL10
1067,ARL11
1068,ARL13A
1069,ARL13B
1070,ARL14
1071,ARL14EP
1072,ARL14EPL
1073,ARL15
1074,ARL16
1075,ARL17A
1076,ARL17B
1077,ARL2
1078,ARL2BP
1079,ARL3
1080,ARL4A
1081,ARL4C
1082,ARL4D
1083,ARL5A
1084,ARL5B
1085,ARL5C
1086,ARL6
1087,ARL6IP1
1088,ARL6IP4
1089,ARL6IP5
1090,ARL6IP6
1091,ARL8A
1092,ARL8B
1093,ARL9
1094,ARMC1
1095,ARMC10
1096,ARMC12
1097,ARMC2
1098,ARMC3
1099,ARMC4
1100,ARMC5
1101,ARMC6
1102,ARMC7
1103,ARMC8
1104,ARMC9
1105,ARMCX1
1106,ARMCX2
1107,ARMCX3
1108,ARMCX4
1109,ARMCX5
1110,ARMCX5-GPRASP2
1111,ARMCX6
1112,ARMS2
1113,ARNT
1114,ARNT2
1115,ARNTL
1116,ARNTL2
1117,ARO1
1118,ARO8
1119,ARP2
1120,ARP3
1121,ARP9
1122,ARPC1A
1123,ARPC1B
1124,ARPC2
1125,ARPC3
1126,ARPC3P1
1127,ARPC4
1128,ARPC4-TTLL3
1129,ARPC5
1130,ARPC5L
1131,ARPIN
1132,ARPP19
1133,ARPP21
1134,ARR3
1135,ARRB1
1136,ARRB2
1137,ARRDC1
1138,ARRDC1-AS1
1139,ARRDC2
1140,ARRDC3
1141,ARRDC4
1142,ARRDC5
1143,ARSA
1144,ARSB
1145,ARSD
1146,ARSE
1147,ARSF
1148,ARSG
1149,ARSH
1150,ARSI
1151,ARSJ
1152,ARSK
1153,ART1
1154,ART3
1155,ART4
1156,ART5
1157,ARTN
1158,ARV1
1159,ARVCF
1160,ARX
1161,AS3MT
1162,ASAH1
1163,ASAH2
1164,ASAH2B
1165,ASAP1
1166,ASAP2
1167,ASAP3
1168,ASB1
1169,ASB10
1170,ASB11
1171,ASB12
1172,ASB13
1173,ASB14
1174,ASB15
1175,ASB16
1176,ASB16-AS1
1177,ASB17
1178,ASB18
1179,ASB2
1180,ASB3
1181,ASB4
1182,ASB5
1183,ASB6
1184,ASB7
1185,ASB8
1186,ASB9
1187,ASC1
1188,ASCC1
1189,ASCC2
1190,ASCC3
1191,ASCL1
1192,ASCL2
1193,ASCL3
1194,ASCL4
1195,ASCL5
1196,ASF1A
1197,ASF1B
1198,ASG1
1199,ASGR1
1200,ASGR2
1201,ASH1L
1202,ASH2L
1203,ASIC1
1204,ASIC2
1205,ASIC3
1206,ASIC4
1207,ASIC5
1208,ASIP
1209,ASL
1210,ASM4
1211,ASMT
1212,ASMTL
1213,ASMTL-AS1
1214,ASNA1
1215,ASNS
1216,ASNSD1
1217,ASPA
1218,ASPDH
1219,ASPG
1220,ASPH
1221,ASPHD1
1222,ASPHD2
1223,ASPM
1224,ASPN
1225,ASPRV1
1226,ASPSCR1
1227,ASRGL1
1228,ASS1
1229,ASTE1
1230,ASTL
1231,ASTN1
1232,ASTN2
1233,ASUN
1234,ASXL1
1235,ASXL2
1236,ASXL3
1237,ASZ1
1238,AT1G04410
1239,AT1G07920
1240,AT1G07930
1241,AT1G07940
1242,AT1G09310
1243,AT1G59660
1244,AT1G80930
1245,AT2G01720
