,geneSymbol
6099,ELAVL3
6100,ELAVL4
6101,ELC1
6102,ELF1
6103,ELF2
6104,ELF3
6105,ELF4
6106,ELF5
6107,ELFN1
6108,ELFN2
6109,ELK1
6110,ELK3
6111,ELK4
6112,ELL
6113,ELL2
6114,ELL3
6115,ELMO1
6116,ELMO2
6117,ELMO3
6118,ELMOD1
6119,ELMOD2
6120,ELMOD3
6121,ELMSAN1
6122,ELN
6123,ELOF1
6124,ELOVL1
6125,ELOVL2
6126,ELOVL3
6127,ELOVL4
6128,ELOVL5
6129,ELOVL6
6130,ELOVL7
6131,ELP2
6132,ELP3
6133,ELP4
6134,ELP5
6135,ELP6
6136,ELSPBP1
6137,ELTD1
6138,EMB
6139,EMB2296
6140,EMBP1
6141,EMC1
6142,EMC10
6143,EMC2
6144,EMC3
6145,EMC4
6146,EMC6
6147,EMC7
6148,EMC8
6149,EMC9
6150,EMCN
6151,EMD
6152,EME1
6153,EME2
6154,EMG1
6155,EMI2
6156,EMID1
6157,EMILIN1
6158,EMILIN2
6159,EMILIN3
6160,EML1
6161,EML2
6162,EML3
6163,EML4
6164,EML5
6165,EML6
6166,EMP1
6167,EMP2
6168,EMP3
6169,EMP47
6170,EMR2
6171,EMR4P
6172,EMX1
6173,EMX2
6174,EN1
6175,EN2
6176,ENAH
6177,ENAM
6178,ENC1
6179,ENDOD1
6180,ENDOG
6181,ENDOU
6182,ENDOV
6183,ENG
6184,ENGASE
6185,ENHO
6186,ENKD1
6187,ENKUR
6188,ENO1
6189,ENO2
6190,ENO3
6191,ENO4
6192,ENOPH1
6193,ENOSF1
6194,ENOX1
6195,ENOX2
6196,ENPEP
6197,ENPP1
6198,ENPP2
6199,ENPP3
6200,ENPP4
6201,ENPP5
6202,ENPP6
6203,ENPP7
6204,ENPP7P4
6205,ENSA
6206,ENTHD1
6207,ENTHD2
6208,ENTPD1
6209,ENTPD2
6210,ENTPD3
6211,ENTPD4
6212,ENTPD5
6213,ENTPD6
6214,ENTPD7
6215,ENTPD8
6216,ENY2
6217,EOGT
6218,EOMES
6219,EP300
6220,EP400
6221,EP400NL
6222,EPAS1
6223,EPB41
6224,EPB41L1
6225,EPB41L2
6226,EPB41L3
6227,EPB41L4A
6228,EPB41L4A-AS1
6229,EPB41L4A-AS2
6230,EPB41L4B
6231,EPB41L5
6232,EPB42
6233,EPC1
6234,EPC2
6235,EPCAM
6236,EPDR1
6237,EPG5
6238,EPGN
6239,EPHA1
6240,EPHA10
6241,EPHA2
6242,EPHA3
6243,EPHA4
6244,EPHA5
6245,EPHA6
6246,EPHA7
6247,EPHA8
6248,EPHB1
6249,EPHB2
6250,EPHB3
6251,EPHB4
6252,EPHB6
6253,EPHX1
6254,EPHX2
6255,EPHX3
6256,EPHX4
6257,EPM2A
6258,EPM2AIP1
6259,EPN1
6260,EPN2
6261,EPN3
6262,EPO
6263,EPOR
6264,EPPIN
6265,EPPK1
6266,EPRS
6267,EPS1
6268,EPS15
6269,EPS15L1
6270,EPS15P1
6271,EPS8
6272,EPS8L1
6273,EPS8L2
6274,EPS8L3
6275,EPSTI1
6276,EPT1
6277,EPX
6278,EPYC
6279,ERAL1
6280,ERAP1
6281,ERAP2
6282,ERAS
6283,ERBB2
6284,ERBB2IP
6285,ERBB3
6286,ERBB4
6287,ERC1
6288,ERC2
6289,ERCC1
6290,ERCC2
6291,ERCC3
6292,ERCC4
6293,ERCC5
6294,ERCC6
6295,ERCC6L
6296,ERCC6L2
6297,ERCC8
6298,ERD10
6299,ERD2
6300,EREG
6301,ERF
6302,ERG
6303,ERG10
6304,ERG13
6305,ERG20
6306,ERG26
6307,ERG28
6308,ERG6
6309,ERG9
6310,ERGIC1
6311,ERGIC2
6312,ERGIC3
6313,ERH
6314,ERI1
6315,ERI2
6316,ERI3
6317,ERICH1
6318,ERICH2
6319,ERICH3
6320,ERICH4
6321,ERICH5
6322,ERICH6
6323,ERICH6B
6324,ERLEC1
6325,ERLIN1
6326,ERLIN2
6327,ERMAP
6328,ERMARD
6329,ERMN
6330,ERMP1
6331,ERN1
6332,ERN2
6333,ERO1L
6334,ERO1LB
6335,ERP1
6336,ERP27
6337,ERP29
6338,ERP44
6339,ERRFI1
6340,ERV3-1
6341,ERVFC1-1
6342,ERVFRD-1
6343,ERVK-10
6344,ERVK-19
6345,ERVK-6
6346,ERVK13-1
6347,ERVK3-1
6348,ERVMER34-1
6349,ERVV-1
6350,ESAM
6351,ESCO1
6352,ESCO2
6353,ESD
6354,ESF1
6355,ESM1
6356,ESPL1
6357,ESPN
6358,ESPNL
6359,ESPNP
6360,ESR1
6361,ESR2
6362,ESRP1
6363,ESRP2
6364,ESRRA
6365,ESRRB
6366,ESRRG
6367,ESX1
6368,ESYT1
6369,ESYT2
6370,ESYT3
6371,ETAA1
6372,ETF1
6373,ETFA
6374,ETFB
6375,ETFDH
6376,ETHE1
6377,ETNK1
6378,ETNK2
6379,ETNPPL
6380,ETR1
6381,ETS1
6382,ETS2
6383,ETV1
6384,ETV2
6385,ETV3
6386,ETV3L
6387,ETV4
6388,ETV5
6389,ETV6
6390,ETV7
6391,EVA1A
6392,EVA1B
6393,EVA1C
6394,EVC
6395,EVC2
6396,EVI2A
6397,EVI2B
6398,EVI5
6399,EVI5L
6400,EVL
6401,EVPL
6402,EVPLL
6403,EVX1
6404,EVX2
6405,EWSR1
6406,EXD1
6407,EXD2
6408,EXD3
6409,EXO1
6410,EXO5
6411,EXOC1
6412,EXOC2
6413,EXOC3
6414,EXOC3-AS1
6415,EXOC3L1
6416,EXOC3L2
6417,EXOC3L4
6418,EXOC4
6419,EXOC5
6420,EXOC6
6421,EXOC6B
6422,EXOC7
6423,EXOC8
6424,EXOG
6425,EXOSC1
6426,EXOSC10
6427,EXOSC2
6428,EXOSC3
6429,EXOSC4
6430,EXOSC5
6431,EXOSC6
6432,EXOSC7
6433,EXOSC8
6434,EXOSC9
6435,EXPH5
6436,EXT1
6437,EXT2
6438,EXTL1
6439,EXTL2
6440,EXTL3
6441,EYA1
6442,EYA2
6443,EYA3
6444,EYA4
6445,EYS
6446,EZH1
6447,EZH2
6448,EZR
6449,Ebi3
6450,Ebna1bp2
6451,Ebpl
6452,Ech1
6453,Echdc1
6454,Echs1
6455,Eci1
6456,Ecsit
6457,Ect2
6458,Eda
6459,Edc4
6460,Edem1
6461,Edem3
6462,Eef1a1
6463,Eef1a2
6464,Eef1b2
6465,Eef1d
6466,Eef1g
6467,Eef2
6468,Ef1alpha100E
6469,Efcab14
6470,Efcab6
6471,Efemp1
6472,Efna1
6473,Efs
6474,Egfr
6475,Egr2
6476,Ehbp1l1
6477,Ehd3
6478,Ehmt1
6479,Ei24
6480,Eid1
6481,Eif1a
6482,Eif1b
6483,Eif2ak1
6484,Eif2ak4
6485,Eif2b1
6486,Eif2b2
6487,Eif2b4
6488,Eif2b5
6489,Eif2s1
6490,Eif2s3x
6491,Eif3a
6492,Eif3b
6493,Eif3e
6494,Eif3g
6495,Eif3h
6496,Eif3i
6497,Eif3l
6498,Eif3m
6499,Eif4a1
6500,Eif4a2
6501,Eif4a3
6502,Eif4b
6503,Eif4e
6504,Eif4e2
6505,Eif4ebp1
6506,Eif4enif1
6507,Eif4g1
6508,Eif4g2
6509,Eif4g3
6510,Eif5
6511,Eif5a
6512,Eif5b
6513,Eif6
6514,Elane
6515,Elavl1
6516,Elavl2
6517,Elavl3
6518,Elavl4
6519,Elf2
6520,Elmo1
6521,Eln
6522,Elp2
6523,Elp3
6524,Emb
6525,Emc2
6526,Emc8
6527,Emd
6528,Emilin1
6529,Emilin3
6530,Eml4
6531,Enah
6532,Enc1
6533,EndoA
6534,Eno1
6535,Eno2
6536,Eno3
6537,Enpep
6538,Ep300
6539,Epas1
6540,Epb4.1l2
6541,Epb4.1l3
6542,Epc1
6543,Epha1
6544,Epha2
6545,Ephb1
6546,Ephb2
6547,Ephb3
6548,Epn1
6549,Epn2
6550,Epor
6551,Eppk1
6552,Eprs
6553,Eps15
6554,Eps15l1
6555,Epx
6556,Erap1
6557,Erbb2ip
6558,Erbb4
6559,Erc1
6560,Erc2
6561,Ergic1
6562,Ergic3
6563,Erich1
6564,Erlin1
6565,Ermp1
6566,Ern1
6567,Ern2
6568,Errfi1
6569,Esd
6570,Esr1
6571,Esr2
6572,Esrrg
6573,Esyt1
6574,Esyt2
6575,Etfa
6576,Etfb
6577,Etv6
6578,Evl
6579,Ewsr1
6580,Exd2
6581,Exoc1
6582,Exoc3
6583,Exoc4
6584,Exoc5
6585,Exoc6
6586,Exosc2
6587,Exosc4
6588,Exosc7
6589,Exosc8
6590,Ezr
6591,F10
6592,F11
6593,F11R
6594,F12
6595,F13A1
6596,F13B
6597,F1L
6598,F2
6599,F2R
6600,F2RL1
6601,F2RL3
6602,F3
6603,F5
6604,F7
6605,F8
6606,F8A1
6607,F8A2
6608,F8a
6609,F9
6610,FA2H
6611,FAA1
6612,FAAH
6613,FAAH2
6614,FABP1
6615,FABP12
6616,FABP2
6617,FABP3
6618,FABP4
6619,FABP5
6620,FABP6
6621,FABP7
6622,FABP9
6623,FADD
6624,FADS1
6625,FADS2
6626,FADS3
6627,FADS6
6628,FAF1
6629,FAF2
6630,FAH
6631,FAHD1
6632,FAHD2A
6633,FAHD2B
6634,FAIM
6635,FAIM2
6636,FAIM3
6637,FAM101A
6638,FAM101B
6639,FAM102A
6640,FAM102B
6641,FAM103A1
6642,FAM104A
6643,FAM104B
6644,FAM105A
6645,FAM106A
6646,FAM107A
6647,FAM107B
6648,FAM109A
6649,FAM109B
6650,FAM110A
6651,FAM110B
6652,FAM110C
6653,FAM110D
6654,FAM111A
6655,FAM111B
6656,FAM114A1
6657,FAM114A2
6658,FAM115A
6659,FAM115C
6660,FAM117A
6661,FAM117B
6662,FAM118A
6663,FAM118B
6664,FAM120A
6665,FAM120AOS
6666,FAM120B
6667,FAM120C
6668,FAM122A
6669,FAM122B
6670,FAM122C
6671,FAM124A
6672,FAM124B
6673,FAM126A
6674,FAM126B
6675,FAM127A
6676,FAM127B
6677,FAM127C
6678,FAM129A
6679,FAM129B
6680,FAM129C
6681,FAM131A
6682,FAM131B
6683,FAM131C
6684,FAM132B
6685,FAM133A
6686,FAM133B
6687,FAM134A
6688,FAM134B
6689,FAM134C
6690,FAM135A
6691,FAM135B
6692,FAM136A
6693,FAM13A
6694,FAM13B
6695,FAM13C
6696,FAM149A
6697,FAM149B1
6698,FAM150A
6699,FAM150B
6700,FAM151A
6701,FAM151B
6702,FAM153A
6703,FAM153B
6704,FAM153C
6705,FAM154A
6706,FAM154B
6707,FAM155A
6708,FAM156A
6709,FAM156B
6710,FAM157A
6711,FAM157B
6712,FAM159A
6713,FAM160A1
6714,FAM160A2
6715,FAM160B1
6716,FAM160B2
6717,FAM161A
6718,FAM161B
6719,FAM162A
6720,FAM163A
6721,FAM163B
6722,FAM166A
6723,FAM166B
6724,FAM167A
6725,FAM168A
6726,FAM168B
6727,FAM169A
6728,FAM169B
6729,FAM170A
6730,FAM171A1
6731,FAM171A2
6732,FAM171B
6733,FAM172A
6734,FAM173A
6735,FAM173B
6736,FAM174A
6737,FAM175A
6738,FAM175B
6739,FAM177A1
6740,FAM177B
6741,FAM178A
6742,FAM178B
6743,FAM179B
6744,FAM180B
6745,FAM181A
6746,FAM181B
6747,FAM182A
6748,FAM184A
6749,FAM184B
6750,FAM185A
6751,FAM186A
6752,FAM186B
6753,FAM187B
6754,FAM188A
6755,FAM188B
6756,FAM189A1
6757,FAM189A2
6758,FAM189B
6759,FAM192A
6760,FAM193A
6761,FAM193B
6762,FAM195A
6763,FAM195B
6764,FAM196A
6765,FAM196B
6766,FAM198A
6767,FAM198B
6768,FAM199X
6769,FAM19A1
6770,FAM19A2
6771,FAM19A3
6772,FAM19A4
6773,FAM19A5
6774,FAM200A
6775,FAM200B
6776,FAM204A
6777,FAM205CP
6778,FAM206A
6779,FAM207A
6780,FAM208A
6781,FAM208B
6782,FAM209A
6783,FAM20A
6784,FAM20B
6785,FAM20C
6786,FAM210A
6787,FAM210B
6788,FAM212A
6789,FAM212B
6790,FAM213A
6791,FAM213B
6792,FAM214A
6793,FAM214B
6794,FAM216A
6795,FAM216B
6796,FAM217A
6797,FAM217B
6798,FAM218A
6799,FAM219A
6800,FAM219B
6801,FAM21A
6802,FAM21C
6803,FAM220A
6804,FAM221A
6805,FAM221B
6806,FAM222A
6807,FAM222B
6808,FAM227A
6809,FAM227B
6810,FAM228A
6811,FAM228B
6812,FAM229A
6813,FAM229B
6814,FAM24A
6815,FAM24B
6816,FAM25A
6817,FAM25C
6818,FAM25G
6819,FAM26D
6820,FAM26E
6821,FAM26F
6822,FAM27E3
6823,FAM32A
6824,FAM35A
6825,FAM3A
6826,FAM3B
6827,FAM3C
6828,FAM3D
6829,FAM43A
6830,FAM43B
6831,FAM45A
6832,FAM45B
6833,FAM46A
6834,FAM46B
6835,FAM46C
6836,FAM46D
6837,FAM47A
6838,FAM47B
6839,FAM47C
6840,FAM47E
6841,FAM47E-STBD1
6842,FAM49A
6843,FAM49B
6844,FAM50A
6845,FAM50B
6846,FAM53A
6847,FAM53B
6848,FAM53C
6849,FAM57A
6850,FAM57B
6851,FAM58A
6852,FAM60A
6853,FAM63A
6854,FAM63B
6855,FAM64A
6856,FAM65A
6857,FAM65B
6858,FAM65C
6859,FAM66E
6860,FAM69A
6861,FAM69B
6862,FAM69C
6863,FAM71A
6864,FAM71B
6865,FAM71C
6866,FAM71D
6867,FAM71E1
6868,FAM71E2
6869,FAM71F1
6870,FAM71F2
6871,FAM72A
6872,FAM72B
6873,FAM72C
6874,FAM72D
6875,FAM73A
6876,FAM73B
6877,FAM74A1
6878,FAM74A4
6879,FAM76A
6880,FAM76B
6881,FAM78A
6882,FAM78B
6883,FAM81A
6884,FAM81B
6885,FAM83A
6886,FAM83B
6887,FAM83C
6888,FAM83D
6889,FAM83F
6890,FAM83G
6891,FAM83H
6892,FAM83H-AS1
6893,FAM84A
6894,FAM84B
6895,FAM86B1
6896,FAM86B2
6897,FAM86B3P
6898,FAM86C1
6899,FAM86JP
6900,FAM89A
6901,FAM89B
6902,FAM8A1
6903,FAM90A1
6904,FAM90A26
6905,FAM90A27P
6906,FAM90A5P
6907,FAM91A1
6908,FAM92A1
6909,FAM92B
6910,FAM96A
6911,FAM96B
6912,FAM98A
6913,FAM98B
6914,FAM98C
6915,FAM9A
6916,FAM9B
6917,FAM9C
6918,FAN1
6919,FANCA
6920,FANCB
6921,FANCC
6922,FANCD2
6923,FANCD2OS
6924,FANCE
6925,FANCF
6926,FANCG
6927,FANCI
6928,FANCL
6929,FANCM
6930,FANK1
6931,FAP
6932,FAR1
6933,FAR10
6934,FAR11
6935,FAR2
6936,FAR3
6937,FAR7
6938,FAR8
6939,FARP1
6940,FARP2
6941,FARS2
6942,FARSA
6943,FARSB
6944,FAS
6945,FAS1
6946,FAS2
6947,FASLG
6948,FASN
6949,FASTK
6950,FASTKD1
6951,FASTKD2
6952,FASTKD3
6953,FASTKD5
6954,FAT1
6955,FAT2
6956,FAT3
6957,FAT4
6958,FATE1
6959,FAU
6960,FAUP1
6961,FAXC
6962,FAXDC2
6963,FBA1
6964,FBF1
6965,FBL
6966,FBLIM1
6967,FBLL1
6968,FBLN1
6969,FBLN2
6970,FBLN5
6971,FBLN7
6972,FBN1
6973,FBN2
6974,FBN3
6975,FBP1
6976,FBP2
6977,FBRS
6978,FBRSL1
6979,FBXL12
6980,FBXL13
6981,FBXL14
6982,FBXL15
6983,FBXL16
6984,FBXL17
6985,FBXL18
6986,FBXL19
6987,FBXL19-AS1
6988,FBXL2
6989,FBXL20
6990,FBXL21
6991,FBXL22
6992,FBXL3
6993,FBXL4
6994,FBXL5
6995,FBXL6
6996,FBXL7
6997,FBXL8
6998,FBXO10
6999,FBXO11
7000,FBXO15
7001,FBXO16
7002,FBXO17
7003,FBXO18
7004,FBXO2
7005,FBXO21
7006,FBXO22
7007,FBXO22-AS1
7008,FBXO24
7009,FBXO25
7010,FBXO27
7011,FBXO28
7012,FBXO3
7013,FBXO30
7014,FBXO31
7015,FBXO32
7016,FBXO33
7017,FBXO34
7018,FBXO36
7019,FBXO38
7020,FBXO39
7021,FBXO4
7022,FBXO40
7023,FBXO41
7024,FBXO42
7025,FBXO43
7026,FBXO44
7027,FBXO45
7028,FBXO46
7029,FBXO47
7030,FBXO48
7031,FBXO5
7032,FBXO6
7033,FBXO7
7034,FBXO8
7035,FBXO9
7036,FBXW10
7037,FBXW11
7038,FBXW12
7039,FBXW2
7040,FBXW4
7041,FBXW4P1
7042,FBXW5
7043,FBXW7
7044,FBXW8
7045,FBXW9
7046,FCAMR
7047,FCAR
7048,FCER1A
7049,FCER1G
7050,FCER2
7051,FCF1
7052,FCGBP
7053,FCGR1A
7054,FCGR1B
7055,FCGR1C
7056,FCGR2A
7057,FCGR2B
7058,FCGR2C
7059,FCGR3A
7060,FCGR3B
7061,FCGRT
7062,FCHO1
7063,FCHO2
7064,FCHSD1
7065,FCHSD2
7066,FCN1
7067,FCN2
7068,FCN3
7069,FCP1
7070,FCRL1
7071,FCRL2
7072,FCRL3
7073,FCRL4
7074,FCRL5
7075,FCRL6
7076,FCRLA
7077,FDCSP
7078,FDFT1
7079,FDPS
7080,FDPSP2
7081,FDPSP4
7082,FDX1
7083,FDX1L
7084,FDXACB1
7085,FDXR
7086,FECD3
7087,FECH
7088,FEM1A
7089,FEM1B
7090,FEM1C
7091,FEN1
7092,FER
7093,FER1L4
7094,FER1L5
7095,FER1L6
7096,FERD3L
7097,FERMT1
7098,FERMT2
7099,FERMT3
7100,FES
7101,FETUB
7102,FEV
7103,FEZ1
7104,FEZ2
7105,FEZF1
7106,FEZF2
7107,FFAR1
7108,FFAR2
7109,FFAR3
7110,FFAR4
7111,FGA
7112,FGB
7113,FGD1
7114,FGD2
7115,FGD3
7116,FGD4
7117,FGD5
7118,FGD6
7119,FGF1
7120,FGF10
7121,FGF11
7122,FGF12
7123,FGF13
7124,FGF14
7125,FGF16
7126,FGF17
7127,FGF18
7128,FGF19
7129,FGF2
7130,FGF20
7131,FGF21
7132,FGF22
7133,FGF23
7134,FGF3
7135,FGF4
7136,FGF5
7137,FGF6
7138,FGF7
7139,FGF8
7140,FGF9
7141,FGFBP1
7142,FGFBP2
7143,FGFR1
7144,FGFR1OP
7145,FGFR1OP2
7146,FGFR2
7147,FGFR3
7148,FGFR4
7149,FGFRL1
7150,FGG
7151,FGGY
7152,FGL1
7153,FGL2
7154,FGR
7155,FH
7156,FHAD1
7157,FHDC1
7158,FHIT
7159,FHL1
7160,FHL2
7161,FHL3
7162,FHL5
7163,FHOD1
7164,FHOD3
7165,FIBCD1
7166,FIBIN
7167,FIBP
7168,FICD
7169,FIG4
7170,FIGF
7171,FIGLA
7172,FIGN
7173,FIGNL1
7174,FIGNL2
7175,FILIP1
7176,FILIP1L
7177,FIP1L1
7178,FIRRE
7179,FIS1
7180,FITM1
7181,FITM2
7182,FIZ1
7183,FJX1
7184,FKBP10
7185,FKBP11
7186,FKBP14
7187,FKBP15
7188,FKBP1A
7189,FKBP1B
7190,FKBP2
7191,FKBP3
7192,FKBP4
7193,FKBP5
7194,FKBP6
7195,FKBP7
7196,FKBP8
7197,FKBP9
7198,FKBP9P1
7199,FKBPL
7200,FKRP
7201,FKS1
7202,FKSG29
7203,FKTN
7204,FLAD1
7205,FLC2
7206,FLCN
7207,FLD1
7208,FLG
7209,FLG2
7210,FLI1
7211,FLII
7212,FLJ20712
7213,FLJ22447
7214,FLJ25613
7215,FLJ25758
7216,FLJ38576
7217,FLJ38668
7218,FLJ42627
7219,FLJ44635
7220,FLJ45950
7221,FLJ90680
7222,FLNA
7223,FLNB
7224,FLNB-AS1
7225,FLNC
7226,FLOT1
7227,FLOT2
7228,FLRT1
7229,FLRT2
7230,FLRT3
7231,FLT1
7232,FLT3
7233,FLT3LG
7234,FLT4
7235,FLVCR1
7236,FLVCR2
7237,FLYWCH1
7238,FLYWCH2
7239,FMN1
7240,FMN2
7241,FMNL1
7242,FMNL2
7243,FMNL3
7244,FMO1
7245,FMO2
7246,FMO3
7247,FMO4
7248,FMO5
7249,FMOD
7250,FMR1
7251,FMR1-AS1
7252,FMR1NB
7253,FN1
7254,FN3K
7255,FN3KRP
7256,FNBP1
7257,FNBP1L
7258,FNBP4
7259,FNDC1
7260,FNDC3A
7261,FNDC3B
7262,FNDC4
7263,FNDC5
7264,FNDC7
7265,FNDC8
7266,FNDC9
7267,FNIP1
7268,FNIP2
7269,FNTA
7270,FNTB
7271,FOCAD
7272,FOLH1
7273,FOLH1B
7274,FOLR1
7275,FOLR2
7276,FOLR3
7277,FOPNL
7278,FOS
7279,FOSB
7280,FOSL1
7281,FOSL2
7282,FOXA1
7283,FOXA2
7284,FOXA3
7285,FOXB1
7286,FOXB2
7287,FOXC1
7288,FOXC2
7289,FOXD1
7290,FOXD2
7291,FOXD3
7292,FOXD4
7293,FOXD4L1
7294,FOXD4L3
7295,FOXD4L4
7296,FOXD4L6
7297,FOXE1
7298,FOXE3
7299,FOXF1
7300,FOXF2
7301,FOXG1
7302,FOXH1
7303,FOXI1
7304,FOXI2
7305,FOXI3
7306,FOXJ1
7307,FOXJ2
7308,FOXJ3
7309,FOXK1
7310,FOXK2
7311,FOXL1
7312,FOXL2
7313,FOXL2NB
7314,FOXM1
7315,FOXN1
7316,FOXN2
7317,FOXN3
7318,FOXN4
7319,FOXO1
7320,FOXO3
7321,FOXO3B
7322,FOXO4
7323,FOXO6
7324,FOXP1
7325,FOXP2
7326,FOXP3
7327,FOXP4
7328,FOXP4-AS1
7329,FOXQ1
7330,FOXR1
7331,FOXR2
7332,FOXRED1
7333,FOXRED2
7334,FOXS1
7335,FPGS
7336,FPGT
7337,FPR1
7338,FPR2
7339,FPR3
7340,FRA10AC1
7341,FRA10F
7342,FRAS1
7343,FRAT1
7344,FRAT2
7345,FRE1
7346,FREM1
7347,FREM2
7348,FREM3
7349,FRG1
7350,FRG1B
7351,FRG2
7352,FRK
7353,FRMD1
7354,FRMD3
7355,FRMD4A
7356,FRMD4B
7357,FRMD5
7358,FRMD6
7359,FRMD7
7360,FRMD8
7361,FRMD8P1
7362,FRMPD1
7363,FRMPD2
7364,FRMPD3
7365,FRMPD4
7366,FRRS1
7367,FRRS1L
7368,FRS1
7369,FRS2
7370,FRS3
7371,FRY
7372,FRYL
7373,FRZB
7374,FSBP
7375,FSCB
7376,FSCN1
7377,FSCN2
7378,FSCN3
7379,FSD1
7380,FSD1L
7381,FSD2
7382,FSHB
7383,FSHR
7384,FSIP1
7385,FSIP2
7386,FST
7387,FSTL1
7388,FSTL3
7389,FSTL4
7390,FSTL5
7391,FTCD
7392,FTH1
7393,FTH1P23
7394,FTH1P3
7395,FTHL17
7396,FTL
7397,FTMT
7398,FTO
7399,FTSJ1
7400,FTSJ2
7401,FTSJ3
7402,FTX
7403,FUBP1
7404,FUBP3
7405,FUCA1
7406,FUCA2
7407,FUK
7408,FUM1
7409,FUN12
7410,FUN26
7411,FUNDC1
7412,FUNDC2
7413,FUNDC2P2
7414,FUOM
7415,FUR4
7416,FURIN
7417,FUS
7418,FUS3
7419,FUT1
7420,FUT10
7421,FUT11
7422,FUT2
7423,FUT3
7424,FUT4
7425,FUT7
7426,FUT8
7427,FUT9
7428,FUZ
7429,FXN
7430,FXR1
7431,FXR2
7432,FXYD1
7433,FXYD2
7434,FXYD3
7435,FXYD6
7436,FXYD6-FXYD2
7437,FXYD7
7438,FYB
7439,FYCO1
7440,FYN
7441,FYTTD1
7442,FZD1
7443,FZD10
7444,FZD10-AS1
7445,FZD2
7446,FZD3
7447,FZD4
7448,FZD5
7449,FZD6
7450,FZD7
7451,FZD8
7452,FZD9
7453,FZR1
7454,Fabp1
7455,Fabp4
7456,Fabp5
7457,Fads1
7458,Faf2
7459,Fah
7460,Fam103a1
7461,Fam114a1
7462,Fam114a2
7463,Fam115a
7464,Fam120a
7465,Fam120c
7466,Fam168a
7467,Fam185a
7468,Fam193a
7469,Fam47e
7470,Fam96b
7471,Fam98a
7472,Fancl
7473,Far1
7474,Farp1
7475,Farp2
7476,Farsa
7477,Fasn
7478,Fastkd5
7479,Fat1
7480,Fat2
7481,Fbl
7482,Fbln2
7483,Fbn1
7484,Fbxl12
7485,Fbxl3
7486,Fbxl7
7487,Fbxl8
7488,Fbxo11
7489,Fbxo15
7490,Fbxo24
7491,Fbxo3
7492,Fbxo34
7493,Fbxo41
7494,Fbxo45
7495,Fbxo6
7496,Fbxw10
7497,Fbxw11
7498,Fbxw14
7499,Fbxw5
7500,Fbxw7
7501,Fcgr1
7502,Fcho1
7503,Fcho2
7504,Fcna
7505,Fdps
7506,Fech
7507,Fem1b
7508,Fez2
7509,Fgd6
7510,Fgf1
7511,Fgf3
7512,Fgfr1
7513,Fgfr2
7514,Fgg
7515,Fh1
7516,Fhad1
7517,Fhl1
7518,Fhl3
7519,Fhl4
7520,Fibp
7521,Figf
7522,Fip1l1
7523,Fkbp10
7524,Fkbp11
7525,Fkbp1a
7526,Fkbp1b
7527,Fkbp2
7528,Fkbp3
7529,Fkbp4
7530,Fkbp8
7531,Flcn
7532,Flna
7533,Flnb
7534,Flnc
7535,Flt4
7536,Fmr1
7537,Fn1
7538,Fn3krp
7539,Fnbp1
7540,Fnbp1l
7541,Fndc5
7542,Fosl2
7543,Foxg1
7544,Foxk1
7545,Foxl1
7546,Foxm1
7547,Foxo1
7548,Fpr2
7549,Frg1
7550,Frrs1l
7551,Fry
7552,Fscn1
7553,Fst
7554,Fstl4
7555,Fth1
7556,Ftl1
7557,Ftsj3
7558,Fubp1
7559,Fubp3
7560,Fus
7561,Fxr1
7562,Fxr2
7563,Fyb
7564,Fyttd1
7565,G0S2
7566,G2E3
7567,G3BP1
7568,G3BP2
7569,G3bp1
7570,G3bp2
7571,G6PC
7572,G6PC3
7573,G6PD
7574,G6pc2
7575,GAA
7576,GAB1
7577,GAB2
7578,GAB3
7579,GAB4
7580,GABARAP
7581,GABARAPL1
7582,GABARAPL2
7583,GABARAPL3
7584,GABBR1
7585,GABBR2
7586,GABPA
7587,GABPB1
7588,GABPB1-AS1
7589,GABPB2
7590,GABRA1
7591,GABRA2
7592,GABRA3
7593,GABRA4
7594,GABRA5
7595,GABRA6
7596,GABRB1
7597,GABRB2
7598,GABRB3
7599,GABRD
7600,GABRE
7601,GABRG1
7602,GABRG2
7603,GABRG3
7604,GABRP
7605,GABRQ
7606,GABRR1
7607,GABRR2
7608,GABRR3
7609,GACAT2
7610,GAD1
7611,GAD2
7612,GADD45A
7613,GADD45B
7614,GADD45G
7615,GADD45GIP1
7616,GADL1
7617,GAFA3
7618,GAGE1
7619,GAGE10
7620,GAGE12B
7621,GAGE12C
7622,GAGE12D
7623,GAGE12E
7624,GAGE12F
7625,GAGE12G
7626,GAGE12I
7627,GAGE12J
7628,GAGE13
7629,GAGE2A
7630,GAGE2B
7631,GAGE2C
7632,GAGE2D
7633,GAGE2E
7634,GAGE5
7635,GAGE6
7636,GAGE7
7637,GAGE8
7638,GAK
7639,GAL
7640,GAL3
7641,GAL3ST1
7642,GAL3ST2
7643,GAL3ST3
7644,GAL3ST4
7645,GAL4
7646,GALC
7647,GALE
7648,GALK1
7649,GALK2
7650,GALM
7651,GALNS
7652,GALNT1
7653,GALNT10
7654,GALNT11
7655,GALNT12
7656,GALNT13
7657,GALNT14
7658,GALNT15
7659,GALNT16
7660,GALNT18
7661,GALNT2
7662,GALNT3
7663,GALNT4
7664,GALNT5
7665,GALNT6
7666,GALNT7
7667,GALNT8
7668,GALNT9
7669,GALNTL5
7670,GALNTL6
7671,GALP
7672,GALR1
7673,GALR3
7674,GALT
7675,GAMT
7676,GAMTP1
